Repeat,VAR2,Point,Device Voltage,Device Current,Device Time,LED Voltage,LED Current,LED Time,Device Current,,6.19E-07
1,1,1,2.00E+01,9.83E-09,2.42E-02,1.26E-02,-1.00E-12,2.42E-02,9.83E-09,,
1,1,2,2.00E+01,1.08E-08,5.82E-02,1.16E-02,1.00E-12,5.82E-02,1.08E-08,,
1,1,3,2.00E+01,1.05E-08,1.08E-01,7.97E-03,1.00E-12,1.08E-01,1.05E-08,,
1,1,4,2.00E+01,1.01E-08,1.59E-01,4.29E-03,1.00E-12,1.59E-01,1.01E-08,,
1,1,5,2.00E+01,9.72E-09,2.10E-01,8.36E-04,1.00E-12,2.10E-01,9.72E-09,,
1,1,6,2.00E+01,9.39E-09,2.61E-01,-2.26E-03,1.00E-12,2.61E-01,9.39E-09,,
1,1,7,2.00E+01,9.06E-09,3.11E-01,-5.45E-03,1.00E-12,3.11E-01,9.06E-09,,
1,1,8,2.00E+01,8.66E-09,3.62E-01,-7.89E-03,0.00E+00,3.62E-01,8.66E-09,,
1,1,9,2.00E+01,8.37E-09,4.13E-01,-9.58E-03,1.00E-12,4.13E-01,8.37E-09,,
1,1,10,2.00E+01,8.21E-09,4.63E-01,-1.25E-02,1.00E-12,4.63E-01,8.21E-09,,
1,1,11,2.00E+01,7.94E-09,5.14E-01,-1.39E-02,1.00E-12,5.14E-01,7.94E-09,,
1,1,12,2.00E+01,7.70E-09,5.75E-01,-1.59E-02,1.00E-12,5.75E-01,7.70E-09,,
1,1,13,2.00E+01,7.45E-09,6.26E-01,-1.77E-02,0.00E+00,6.26E-01,7.45E-09,,
1,1,14,2.00E+01,7.33E-09,6.78E-01,-1.94E-02,0.00E+00,6.78E-01,7.33E-09,,
1,1,15,2.00E+01,7.13E-09,7.29E-01,-2.13E-02,1.00E-12,7.29E-01,7.13E-09,,
1,1,16,2.00E+01,7.03E-09,7.80E-01,-2.33E-02,1.00E-12,7.80E-01,7.03E-09,,
1,1,17,2.00E+01,6.85E-09,8.31E-01,-2.53E-02,0.00E+00,8.31E-01,6.85E-09,,
1,1,18,2.00E+01,6.70E-09,8.82E-01,-2.71E-02,1.00E-12,8.82E-01,6.70E-09,,
1,1,19,2.00E+01,6.61E-09,9.33E-01,-2.89E-02,0.00E+00,9.33E-01,6.61E-09,,
1,1,20,2.00E+01,6.48E-09,9.83E-01,-3.06E-02,1.00E-12,9.83E-01,6.48E-09,,
1,1,21,2.00E+01,6.40E-09,1.03E+00,-3.22E-02,0.00E+00,1.03E+00,6.40E-09,,
1,1,22,2.00E+01,6.28E-09,1.08E+00,-3.36E-02,0.00E+00,1.08E+00,6.28E-09,,
1,1,23,2.00E+01,6.17E-09,1.14E+00,-3.48E-02,1.00E-12,1.14E+00,6.17E-09,,
1,1,24,2.00E+01,6.09E-09,1.19E+00,-3.58E-02,1.00E-12,1.19E+00,6.09E-09,,
1,1,25,2.00E+01,6.03E-09,1.24E+00,-3.73E-02,1.00E-12,1.24E+00,6.03E-09,,
1,1,26,2.00E+01,5.89E-09,1.29E+00,-3.86E-02,0.00E+00,1.29E+00,5.89E-09,,
1,1,27,2.00E+01,5.88E-09,1.34E+00,-3.98E-02,0.00E+00,1.34E+00,5.88E-09,,
1,1,28,2.00E+01,5.77E-09,1.39E+00,-4.08E-02,0.00E+00,1.39E+00,5.77E-09,,
1,1,29,2.00E+01,5.74E-09,1.44E+00,-4.20E-02,0.00E+00,1.44E+00,5.74E-09,,
1,1,30,2.00E+01,5.63E-09,1.49E+00,-4.31E-02,1.00E-12,1.49E+00,5.63E-09,,
1,1,31,2.00E+01,5.56E-09,1.54E+00,-4.44E-02,1.00E-12,1.54E+00,5.56E-09,,
1,1,32,2.00E+01,5.51E-09,1.59E+00,-4.54E-02,1.00E-12,1.59E+00,5.51E-09,,
1,1,33,2.00E+01,5.46E-09,1.64E+00,-4.67E-02,0.00E+00,1.64E+00,5.46E-09,,
1,1,34,2.00E+01,5.40E-09,1.69E+00,-4.78E-02,1.00E-12,1.69E+00,5.40E-09,,
1,1,35,2.00E+01,5.35E-09,1.74E+00,-4.89E-02,1.00E-12,1.74E+00,5.35E-09,,
1,1,36,2.00E+01,5.31E-09,1.79E+00,-5.03E-02,1.00E-12,1.79E+00,5.31E-09,,
1,1,37,2.00E+01,5.25E-09,1.85E+00,-5.15E-02,0.00E+00,1.85E+00,5.25E-09,,
1,1,38,2.00E+01,5.21E-09,1.90E+00,-5.28E-02,0.00E+00,1.90E+00,5.21E-09,,
1,1,39,2.00E+01,5.11E-09,1.95E+00,-5.41E-02,1.00E-12,1.95E+00,5.11E-09,,
1,1,40,2.00E+01,5.10E-09,2.00E+00,-5.55E-02,1.00E-12,2.00E+00,5.10E-09,,
1,1,41,2.00E+01,5.05E-09,2.05E+00,-5.68E-02,0.00E+00,2.05E+00,5.05E-09,,
1,1,42,2.00E+01,5.02E-09,2.10E+00,-5.79E-02,0.00E+00,2.10E+00,5.02E-09,,
1,1,43,2.00E+01,4.97E-09,2.15E+00,-5.93E-02,0.00E+00,2.15E+00,4.97E-09,,
1,1,44,2.00E+01,4.92E-09,2.20E+00,-6.07E-02,0.00E+00,2.20E+00,4.92E-09,,
1,1,45,2.00E+01,4.89E-09,2.25E+00,-6.20E-02,1.00E-12,2.25E+00,4.89E-09,,
